No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5,Total_Nominal_Meleset,Persentase_Simpangan (%)
247/25/09/197/X,137625.0,1,2,137625.0,120902.46393985141,0.0,16722.53606014857,0.0,0.0,0.0,0.0,0.0,0.0,16722.53606014858,12.15
002991/26/JKT,118875.0,1,1,118875.0,118875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003380/25/MKS,156250.0,1,1,156250.0,156250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000121/26/BIT,249750.0,2,1,249750.0,249750.0,249750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124875.0,50.0
472/25/10/360/X,470125.0,2,1,10000.0,470125.0,460125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460125.0,97.87
046885/25/SBY,305563.0,1,1,305563.0,305563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185/26/01/403/VIIB,44876875.0,1,2,44876875.0,38114807.92905115,0.0,6762067.070948846,0.0,0.0,0.0,0.0,0.0,0.0,6762067.070948847,15.07
386/25/10/956/X,17625.0,1,2,17625.0,17085.90514465481,0.0,539.0948553451889,0.0,0.0,0.0,0.0,0.0,0.0,539.094855345189,3.06
186/25/11/309/VA,37625.0,2,2,35125.0,36632.35808057751,2500.0,992.6419194224853,0.0,0.0,0.0,0.0,0.0,0.0,1507.3580805775136,4.01
973/25/05/998/X,297000.0,1,1,297000.0,297000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518/25/09/230/X,680125.0,2,2,617000.0,647722.2790257101,63124.99999999999,32402.720974289998,0.0,0.0,0.0,0.0,0.0,0.0,30722.279025710035,4.52
862/25/09/746/X,1109125.0,1,1,1109125.0,1109125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639/25/08/581/X,350625.0,1,1,350625.0,350625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562/25/09/434/X,167625.0,1,2,167625.0,158151.00174048668,0.0,9473.99825951331,0.0,0.0,0.0,0.0,0.0,0.0,9473.998259513315,5.65
889/25/10/478/VA,35125.0,1,2,35125.0,33921.489352645156,0.0,1203.5106473548485,0.0,0.0,0.0,0.0,0.0,0.0,1203.5106473548462,3.43
383/25/10/092/X,192625.0,1,2,192625.0,179148.92906939675,0.0,13476.070930603264,0.0,0.0,0.0,0.0,0.0,0.0,13476.070930603259,7.0
