No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5
048016/25/SBY,148000.0,1,2,148000.0,132755.10632244867,0.0,15244.893677551308,0.0,0.0,0.0,0.0,0.0,0.0
628/25/07/511/X,299375.0,1,1,299375.0,299375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
086/25/04/728/X,377875.0,1,1,22500.0,377875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304/25/12/730/X,180125.0,2,2,155125.0,168168.7736070722,25000.0,11956.226392927822,0.0,0.0,0.0,0.0,0.0,0.0
527/25/09/681/X,411875.0,1,1,411875.0,411875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608/25/12/426/X,1355125.0,1,2,1355125.0,1180594.3491277923,0.0,174530.65087220792,0.0,0.0,0.0,0.0,0.0,0.0
861/25/09/845/VA,232625.0,1,2,232625.0,189036.20265783797,0.0,43588.79734216201,0.0,0.0,0.0,0.0,0.0,0.0
842/25/09/279/VA,255125.0,1,2,255125.0,248991.74395194472,0.0,6133.256048055256,0.0,0.0,0.0,0.0,0.0,0.0
781/25/12/414/VA,118875.0,1,1,118875.0,118875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642/25/09/289/VD,848000.0,1,1,848000.0,848000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040595/25/SBY,263750.0,1,1,263750.0,263750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001546/25/BMS,29250.0,1,1,29250.0,29250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628/25/09/951/X,293500.0,1,1,293500.0,293500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123/25/11/311/VZ,711375.0,1,1,711375.0,711375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866/25/08/682/X,10125.0,1,2,10125.0,9984.846500152651,0.0,140.15349984735067,0.0,0.0,0.0,0.0,0.0,0.0
560/25/08/077/X,547375.0,1,1,547375.0,547375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574/26/02/130/X,175125.0,1,2,175125.0,164210.9480218473,0.0,10914.05197815269,0.0,0.0,0.0,0.0,0.0,0.0
910/25/10/280/X,115625.0,1,1,115625.0,115625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343/26/01/574/X,47625.0,1,2,47625.0,42851.12598696082,0.0,4773.8740130391725,0.0,0.0,0.0,0.0,0.0,0.0
178/25/12/084/X,87625.0,2,2,20000.0,85295.6720181509,67625.0,2329.3279818490983,0.0,0.0,0.0,0.0,0.0,0.0
899/25/10/515/VG,161875.0,1,1,161875.0,161875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040581/25/SBY,238500.0,1,2,238500.0,215330.40524115757,0.0,23169.594758842424,0.0,0.0,0.0,0.0,0.0,0.0
777/25/09/552/X,52625.0,1,2,52625.0,46234.21196474982,0.0,6390.788035250186,0.0,0.0,0.0,0.0,0.0,0.0
064/25/11/622/XRM1,-212500.0,0,0,-212500.0,-212500.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
915/25/11/943/X,30125.0,1,2,30125.0,28964.57714690709,0.0,1160.4228530929104,0.0,0.0,0.0,0.0,0.0,0.0
372/25/11/986/X,42625.0,1,2,42625.0,40507.36188951812,0.0,2117.6381104818747,0.0,0.0,0.0,0.0,0.0,0.0
932/25/09/677/X,492625.0,1,1,492625.0,492625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308/26/01/424/X,45125.0,1,2,45125.0,40676.325398872796,0.0,4448.674601127204,0.0,0.0,0.0,0.0,0.0,0.0
225/25/09/572/X,132625.0,1,2,132625.0,127895.20385804455,0.0,4729.796141955457,0.0,0.0,0.0,0.0,0.0,0.0
072/25/11/993/VZ,111375.0,1,2,111375.0,109518.28029997807,0.0,1856.719700021937,0.0,0.0,0.0,0.0,0.0,0.0
172/25/10/470/X,858625.0,1,1,858625.0,858625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003274/26/SBY,197943.0,1,1,196000.0,197943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
036164/25/SBY,236000.0,1,1,236000.0,236000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011/25/10/401/XRM1,-37500.0,0,0,-37500.0,-37500.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
412/25/08/525/X,258125.0,1,1,258125.0,258125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516/25/12/648/X,950000.0,1,1,950000.0,950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511/25/10/603/VZ,218875.0,1,1,218875.0,218875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680/25/11/332/X,140000.0,1,1,140000.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
014/26/01/497/X,55125.0,1,2,55125.0,52388.20095528232,0.0,2736.799044717676,0.0,0.0,0.0,0.0,0.0,0.0
922/25/09/224/X,103125.0,1,1,103125.0,103125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
036648/25/SBY,100000.0,1,1,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030/25/11/329/X,65125.0,1,2,65125.0,53485.74496866563,0.0,11639.255031334376,0.0,0.0,0.0,0.0,0.0,0.0
985/25/11/235/X,17625.0,1,2,17625.0,17029.936802728334,0.0,595.0631972716686,0.0,0.0,0.0,0.0,0.0,0.0
432/25/10/536/X,275125.0,2,2,214750.0,263487.1895162914,60375.00000000001,11637.810483708596,0.0,0.0,0.0,0.0,0.0,0.0
577/24/09/421/X,436375.0,1,1,436375.0,436375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
036664/25/SBY,214250.0,1,1,214250.0,214250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039958/25/SBY,511000.0,1,1,511000.0,511000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
033967/25/SBY,313500.0,1,1,313500.0,313500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249/25/10/508/X,3723375.0,1,1,3723375.0,3723375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522/25/10/456/X,283500.0,1,1,283500.0,283500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310/25/10/707/X,30125.0,1,2,30125.0,28964.57714690709,0.0,1160.4228530929104,0.0,0.0,0.0,0.0,0.0,0.0
532/25/08/859/VX,399275.0,1,1,399275.0,399275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372/25/11/660/X,240125.0,1,2,240125.0,224073.70750329093,0.0,16051.292496709068,0.0,0.0,0.0,0.0,0.0,0.0
721/25/10/944/X,1526375.0,1,2,1526375.0,1500021.3474118898,0.0,26353.65258811023,0.0,0.0,0.0,0.0,0.0,0.0
612/25/11/590/X,269375.0,2,2,7500.0,198673.86241600243,261874.99999999997,70701.13758399758,0.0,0.0,0.0,0.0,0.0,0.0
320/24/09/356/X,455125.0,1,2,455125.0,440573.4920411407,0.0,14551.507958859342,0.0,0.0,0.0,0.0,0.0,0.0
321/25/10/279/X,782625.0,1,1,782625.0,782625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684/25/09/960/VA,205125.0,1,2,205125.0,199240.52338929294,0.0,5884.476610707063,0.0,0.0,0.0,0.0,0.0,0.0
588/25/12/804/X,5125.0,1,1,5125.0,5125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180/25/09/876/VD,32625.0,1,2,32625.0,28045.104139426003,0.0,4579.895860573997,0.0,0.0,0.0,0.0,0.0,0.0
200/25/12/279/X,62625.0,1,2,62625.0,59658.132940854324,0.0,2966.8670591456726,0.0,0.0,0.0,0.0,0.0,0.0
844/25/09/922/X,87625.0,1,2,87625.0,85295.6720181509,0.0,2329.3279818490983,0.0,0.0,0.0,0.0,0.0,0.0
044007/25/SBY,512000.0,1,2,512000.0,476865.6891495601,0.0,35134.31085043989,0.0,0.0,0.0,0.0,0.0,0.0
964/25/10/617/VX,654275.0,1,1,654275.0,654275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839/25/11/639/VZ,732625.0,1,1,732625.0,732625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
049/25/09/724/XXXI,105125.0,1,2,105125.0,101350.30675927413,0.0,3774.693240725886,0.0,0.0,0.0,0.0,0.0,0.0
933/25/08/661/X,336875.0,1,1,336875.0,336875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400/25/08/953/X,361875.0,1,1,361875.0,361875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040136/25/SBY,73000.0,1,2,73000.0,72176.44477755982,0.0,823.555222440168,0.0,0.0,0.0,0.0,0.0,0.0
003768/25/MKS,457500.0,1,1,457500.0,457500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250/25/09/682/X,30125.0,1,2,30125.0,28964.57714690709,0.0,1160.4228530929104,0.0,0.0,0.0,0.0,0.0,0.0
986/25/09/485/X,85125.0,2,2,12500.0,73356.73963630552,72625.0,11768.260363694471,0.0,0.0,0.0,0.0,0.0,0.0
326/25/10/687/X,2059125.0,1,1,2059125.0,2059125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363/25/10/756/VZR1,218875.0,1,1,218875.0,218875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108/25/12/027/VY,91375.0,1,1,91375.0,91375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
932/26/01/586/X,1557500.0,1,1,1557500.0,1557500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521/25/12/856/X,310000.0,1,1,310000.0,310000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218/25/06/686/X,1413875.0,1,1,1413875.0,1413875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
